"ccn","impute_discharge","impute_drg100","impute_drg101","impute_neuro1","impute_neuro2","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2","zip","estimation"
"330201",0,0,0,1,1,1052,0,22,38.4,256,0,6,1,11203,226
"330202",0,0,0,0,0,901,13,21,769.3,1209.7,0,9,3,11203,808
"330203",0,0,0,0,0,3740,23,34,489,489,0,10,3,13210,830
"330204",0,0,0,0,0,878,0,18,814.9,1500.6,0,11,13,10016,911
"330205",0,0,0,0,0,475,0,0,41.8,62,0,4,5,10990,116
"330208",0,0,0,0,0,2988,14,19,0,387,0,12,4,10701,446
"330211",0,0,0,0,1,386,0,0,60,91,0,5,1,13669,77
"330215",0,0,0,0,0,477,0,0,58.6,91.3,0,2,2,13440,76
"330218",0,0,0,0,0,657,0,0,59,123,0,5,2,13126,104
"330219",0,0,0,0,0,2109,14,14,550,648,0,15,3,14215,688
"330221",0,0,0,0,0,1092,0,22,215,229.3,0,3,3,11237,319
"330222",0,0,0,0,0,2417,0,0,223,223,0,9,7,12866,352
