"ccn","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2"
"190040",1408,0,0,155,174,0,3,2
"190041",3015,0,0,178.9,247.6,0,11,6
"190044",523,0,0,46.1,87.7,0,1,1
"190045",2102,0,0,192.7,255,0,5,9
"190046",1141,0,12,149.6,308.9,0,7,3
"190050",400,0,0,31,60,0,1,1
"190053",706,0,0,21,106,0,4,5
"190054",1363,0,0,84.9,120.3,0,2,1
"190060",2712,0,0,0,232.3,0,7,1
"190064",6892,27,34,651.6,691.9,0,8,11
"190065",3220,13,15,275.7,533,0,3,1
"190079",26,0,0,6.9,29.4,0,2,1
"190081",169,0,0,31,31,0,1,1
"190086",1064,0,0,32,125,0,2,4
"190088",144,0,0,22,34,0,1,1
"190090",204,0,0,17,55,0,1,1
"190098",2120,20,32,273,323,1,29,1
"190099",219,0,0,20,31.9,0,1,1
"190102",3819,11,29,295.7,330.7,0,6,8
"190106",124,0,0,11.9,19,0,2,1
"190111",12039,46,66,449.6,623,0,15,4
"190114",274,0,0,50,69.7,0,1,1
"190116",178,0,0,4.1,17,0,1,1
"190118",68,0,0,26.6,34.1,0,1,1
"190125",3533,0,13,198.4,380.7,0,2,2
"190128",4241,0,0,149,151,0,1,1
"190133",63,0,0,15,25,0,1,1
"190140",170,0,0,30,32,0,2,1
"190144",575,0,0,49,75,0,1,3
"190145",182,0,0,14.9,15.9,0,2,1
"190146",2362,0,13,157.1,192.9,0,10,7
"190151",111,0,0,30.4,55,0,1,1
"190160",3699,18,24,211.7,222,0,2,1
"190164",599,0,0,55,68,0,1,1
"190167",1042,0,0,32,70,0,1,2
"190176",3260,33,25,141,249,0,28,4
"190183",243,0,0,0,64,0,2,2
"190184",148,0,0,32.4,33,0,1,2
"190190",107,0,0,31.3,54,0,2,1
"190201",57,0,0,5.1,31,0,2,2
"190202",754,0,0,91.9,135.1,0,6,5
"190204",838,14,12,74,96.6,0,2,5
"190208",121,0,0,19,19,0,1,1
"190218",107,0,0,12,19,0,1,1
"190241",24,0,0,0,62,0,1,1
"190242",62,0,0,9,6,0,2,1
"190245",12,0,0,10,10,0,1,1
"190251",147,0,0,9.9,17,0,1,1
"190255",77,0,0,15,15,0,1,1
"190256",55,0,0,11,11,0,1,2
"190259",235,0,0,21,21,0,3,1
"190263",735,0,0,80.3,173.3,0,3,2
"190266",290,0,0,10.9,19.7,0,12,2
"190267",236,0,0,43,43,0,2,1
"190268",14,0,0,26,21,0,2,1
"190270",146,0,0,46,47,0,2,1
"190274",663,0,0,85.4,116.3,0,2,9
"190278",500,0,0,8.6,23.6,0,4,1
"190298",567,0,0,23.3,25,0,2,1
"190300",40,0,0,16,19,0,1,2
"190302",15,0,0,16,16,0,1,1
"190303",121,0,0,14,14,0,1,2
"190307",47,0,0,0,7,0,2,1
"190308",91,0,0,43,67,0,1,1
"190312",254,0,0,25.9,29,0,1,1
"190313",100,0,0,16.4,58.3,0,2,1
"190314",246,0,0,14,14,0,2,1
"190315",80,0,0,8,14,0,1,1
"190316",308,0,0,0,244,0,2,4
"190317",1397,0,0,84,96,0,1,15
"190318",83,0,0,27.5,36,0,2,2
"191300",152,0,0,21.7,27,0,1,1
"191301",126,0,0,8,28,0,1,1
"191302",268,0,0,15.7,40.1,0,1,1
"191303",147,0,0,4,12,0,2,1
"191304",414,0,0,19,24,0,2,1
"191305",230,0,0,14.1,27,0,1,1
